context,word,frequency,cloze_probability,type
restaurant,smoothie,1,0.019230769230769232,pos
restaurant,donuts,1,0.019230769230769232,pos
restaurant,bajfresh,1,0.019230769230769232,pos
restaurant,cake,1,0.019230769230769232,pos
restaurant,pizza,1,0.019230769230769232,pos
restaurant,hotdog,1,0.019230769230769232,pos
restaurant,chicken,1,0.019230769230769232,pos
restaurant,absinthe,1,0.019230769230769232,pos
restaurant,cognac,1,0.019230769230769232,pos
restaurant,chocolate milk,1,0.019230769230769232,pos
gym,soccer,35,0.6730769230769231,pos
gym,football,33,0.6346153846153846,pos
gym,baseball,33,0.6346153846153846,pos
gym,basketball,32,0.6153846153846154,pos
gym,volleyball,19,0.36538461538461536,pos
gym,tennis,17,0.3269230769230769,pos
gym,hockey,11,0.21153846153846154,pos
gym,lacrosse,10,0.19230769230769232,pos
gym,rugby,8,0.15384615384615385,pos
gym,softball,7,0.1346153846153846,pos
gym,track,7,0.1346153846153846,pos
gym,swimming,6,0.11538461538461539,pos
gym,racquetball,6,0.11538461538461539,pos
gym,weights,5,0.09615384615384616,pos
gym,dodgeball,5,0.09615384615384616,pos
gym,notsure,5,0.09615384615384616,pos
gym,polo,4,0.07692307692307693,pos
gym,flag football,3,0.057692307692307696,pos
gym,wrestling,3,0.057692307692307696,pos
gym,running,3,0.057692307692307696,pos
gym,yoga,3,0.057692307692307696,pos
gym,golf,3,0.057692307692307696,pos
gym,ultimate frisbee,3,0.057692307692307696,pos
gym,badminton,3,0.057692307692307696,pos
gym,pickleball,2,0.038461538461538464,pos
gym,bowling,2,0.038461538461538464,pos
gym,spin,2,0.038461538461538464,pos
gym,aerobics,2,0.038461538461538464,pos
gym,badmitton,2,0.038461538461538464,pos
gym,lacross,1,0.019230769230769232,pos
gym,massage,1,0.019230769230769232,pos
gym,meditation,1,0.019230769230769232,pos
gym,dancing,1,0.019230769230769232,pos
gym,zumba,1,0.019230769230769232,pos
gym,kick boxing,1,0.019230769230769232,pos
gym,water polo,1,0.019230769230769232,pos
gym,field hockey,1,0.019230769230769232,pos
gym,hiking,1,0.019230769230769232,pos
gym,table tennis,1,0.019230769230769232,pos
