set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,beach,bikini,jacket,0,-0.028399474521698,0.028,0.972
3,500,beach,coat,jeans,0,-0.1232982163444936,0.116,0.884
3,500,beach,shorts,sunglasses,1,-2.995732273553991,0.05,0.05
3,500,beach,sunglasses,shorts,0,-1.1647520911726545,0.688,0.31200000000000006
3,500,beach,jacket,jeans,0,-0.1232982163444936,0.116,0.884
3,500,beach,sunglasses,bikini,1,-2.364460496712133,0.094,0.094
3,500,beach,jacket,shorts,1,-0.36816932336446756,0.692,0.692
3,500,beach,jacket,jeans,1,-2.1541650878757723,0.116,0.116
3,500,beach,shorts,sunglasses,0,-0.05129329438755058,0.05,0.95
3,500,beach,jeans,shorts,1,-0.39452516806982996,0.674,0.674
3,500,beach,bikini,shorts,1,-0.38272562113867487,0.682,0.682
3,500,beach,jacket,jeans,0,-0.1232982163444936,0.116,0.884
3,500,beach,coat,sunglasses,0,-0.06400532997591243,0.062,0.938
3,500,beach,jacket,coat,1,-4.8283137373023015,0.008,0.008
3,500,beach,shorts,sunglasses,0,-0.05129329438755058,0.05,0.95
3,500,beach,coat,jeans,0,-0.1232982163444936,0.116,0.884
3,500,beach,bikini,sunglasses,1,-2.8473122684357177,0.058,0.058
3,500,beach,jacket,jeans,1,-2.1541650878757723,0.116,0.116
3,500,beach,jeans,jacket,0,-0.024292692569044587,0.024,0.976
3,500,beach,shorts,bikini,1,-2.9187712324178627,0.054,0.054
3,500,beach,jacket,jeans,0,-0.1232982163444936,0.116,0.884
