dataset_family,dataset,condition,analysis_dataset_id,analysis_label,analysis_unit_id,cv_group_id,human_rate,human_yes,human_total,human_count_status,context_count,trigger_logprob_sum,query_logprob_sum,x_but_not_y_applicable,x_but_not_y_logprob_sum,model_revision,cv_fold
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::try/succeed,hu_2023_benchmark::rx22::try/succeed,0.775,31.0,40.0,exact,1,-10.66671657562256,-11.14718532562256,True,-0.80588698387146,453ed1575b739b5b03ce3758b23befdb0967f40e,8
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::ugly/hideous,hu_2023_benchmark::rx22::ugly/hideous,0.05,2.0,40.0,exact,1,-9.661062240600586,-10.42114955931902,True,-3.466388367116452,453ed1575b739b5b03ce3758b23befdb0967f40e,9
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::understandable/articulate,hu_2023_benchmark::rx22::understandable/articulate,0.1,4.0,40.0,exact,1,-10.801433563232422,-14.711589813232422,True,-8.527995109558105,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::unpleasant/disgusting,hu_2023_benchmark::rx22::unpleasant/disgusting,0.05,2.0,40.0,exact,1,-11.595155715942385,-7.595155715942383,True,-3.1757595539093018,453ed1575b739b5b03ce3758b23befdb0967f40e,1
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::usually/always,hu_2023_benchmark::rx22::usually/always,0.65,26.0,40.0,exact,1,-6.568758964538574,-5.162508964538574,True,-0.9285271167755128,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::want/need,hu_2023_benchmark::rx22::want/need,0.15,6.0,40.0,exact,1,-6.478848457336426,-7.103848457336426,True,-5.394864082336426,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::warm/hot,hu_2023_benchmark::rx22::warm/hot,0.4,16.0,40.0,exact,1,-3.376704692840576,-2.939204692840576,True,-1.6600180864334106,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::well/superbly,hu_2023_benchmark::rx22::well/superbly,0.125,5.0,40.0,exact,1,-1.4732615947723389,-7.891865752637386,True,-8.293184876441956,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::willing/eager,hu_2023_benchmark::rx22::willing/eager,0.075,3.0,40.0,exact,1,-7.005212783813477,-7.223962783813477,True,-3.5193936824798584,453ed1575b739b5b03ce3758b23befdb0967f40e,6
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::amazing/miraculous,hu_2023_benchmark::pvt21::amazing/miraculous,0.363636364,,,rate_only,1,-5.706910133361816,-10.597535133361816,True,-5.4432573318481445,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::angry/violent,hu_2023_benchmark::pvt21::angry/violent,0.176470588,,,rate_only,1,-10.832916259765623,-12.434478759765623,True,-5.40267276763916,453ed1575b739b5b03ce3758b23befdb0967f40e,1
