story,query,n_triggers,triggers,base_logprob_sum,base_logprob_mean,base_query_token_count,mean_but_not_logprob_sum,median_but_not_logprob_sum,sd_but_not_logprob_sum,min_but_not_logprob_sum,max_but_not_logprob_sum,mean_but_not_logprob_mean,median_but_not_logprob_mean,sd_but_not_logprob_mean,min_but_not_logprob_mean,max_but_not_logprob_mean,mean_delta_logprob_sum,mean_delta_logprob_mean
fridge,ketchup,5,"juice,meat,milk,water,yogurt",-12.411393404006958,-6.205696702003479,2,-9.89171193242073,-9.518394231796265,0.9524755384988933,-11.30752158164978,-9.084928095340729,-4.945855966210365,-4.759197115898132,0.47623776924944666,-5.65376079082489,-4.542464047670364,2.519681471586228,1.259840735793114
fridge,meat,5,"juice,ketchup,milk,water,yogurt",-13.66833209991455,-13.66833209991455,1,-11.448130798339843,-11.359975814819336,0.38986673494278296,-11.904796600341797,-10.927345275878906,-11.448130798339843,-11.359975814819336,0.38986673494278296,-11.904796600341797,-10.927345275878906,2.2202013015747077,2.2202013015747077
fridge,milk,5,"juice,ketchup,meat,water,yogurt",-6.137081623077393,-6.137081623077393,1,-2.7029320001602173,-3.007568836212158,1.453209456210106,-4.654796600341797,-0.7597180604934692,-2.7029320001602173,-3.007568836212158,1.453209456210106,-4.654796600341797,-0.7597180604934692,3.4341496229171753,3.4341496229171753
fridge,water,5,"juice,ketchup,meat,milk,yogurt",-2.8870816230773926,-2.8870816230773926,1,-1.1439679145812989,-0.9585952758789062,0.40525614702312873,-1.6972180604934692,-0.7974762916564941,-1.1439679145812989,-0.9585952758789062,0.40525614702312873,-1.6972180604934692,-0.7974762916564941,1.7431137084960937,1.7431137084960937
fridge,yogurt,5,"juice,ketchup,meat,milk,water",-10.91833209991455,-10.91833209991455,1,-8.94173355102539,-8.614845275878906,0.9017159683791806,-10.248546600341797,-8.133981704711914,-8.94173355102539,-8.614845275878906,0.9017159683791806,-10.248546600341797,-8.133981704711914,1.9765985488891609,1.9765985488891609
fridge,juice,5,"ketchup,meat,milk,water,yogurt",-4.574581623077393,-4.574581623077393,1,-2.6109135150909424,-2.6347179412841797,0.49819706619778215,-3.217296838760376,-2.008981227874756,-2.6109135150909424,-2.6347179412841797,0.49819706619778215,-3.217296838760376,-2.008981227874756,1.9636681079864502,1.9636681079864502
gym,lacrosse,5,"basketball,meditation,softball,swimming,weightlifting",-6.766092016827315,-3.3830460084136575,2,-6.202314160717651,-6.254180104006082,0.7127711858709154,-7.201814793748781,-5.320861337473616,-3.1011570803588255,-3.127090052003041,0.3563855929354577,-3.6009073968743905,-2.660430668736808,0.563777856109664,0.281888928054832
gym,meditation,5,"basketball,lacrosse,softball,swimming,weightlifting",-10.295427322387695,-10.295427322387695,1,-11.814179229736329,-12.585912704467773,1.4135574716129875,-13.08486557006836,-10.022884368896484,-11.814179229736329,-12.585912704467773,1.4135574716129875,-13.08486557006836,-10.022884368896484,-1.5187519073486335,-1.5187519073486335
gym,softball,5,"basketball,lacrosse,meditation,swimming,weightlifting",-4.4516777992248535,-4.4516777992248535,1,-4.271467685699463,-4.272884368896484,1.0658023354609194,-5.949433326721191,-3.331648826599121,-4.271467685699463,-4.272884368896484,1.0658023354609194,-5.949433326721191,-3.331648826599121,0.18021011352539062,0.18021011352539062
gym,swimming,5,"basketball,lacrosse,meditation,softball,weightlifting",-5.2641777992248535,-5.2641777992248535,1,-6.810573863983154,-7.054662227630615,1.1027223609023364,-8.06924057006836,-5.335384368896484,-6.810573863983154,-7.054662227630615,1.1027223609023364,-8.06924057006836,-5.335384368896484,-1.5463960647583006,-1.5463960647583006
gym,weightlifting,5,"basketball,lacrosse,meditation,softball,swimming",-8.210391610860825,-4.105195805430412,2,-8.724682915210725,-10.047774285078049,2.457593992228599,-11.181019365787506,-5.448961019515991,-4.362341457605362,-5.023887142539024,1.2287969961142995,-5.590509682893753,-2.7244805097579956,-0.5142913043499,-0.25714565217495
gym,basketball,5,"lacrosse,meditation,softball,swimming,weightlifting",-2.0141777992248535,-2.0141777992248535,1,-2.918986177444458,-2.6478846073150635,0.6047805442060626,-3.8244333267211914,-2.3817410469055176,-2.918986177444458,-2.6478846073150635,0.6047805442060626,-3.8244333267211914,-2.3817410469055176,-0.9048083782196046,-0.9048083782196046
hot,couch,5,"blankets,fan,heater,pool,shower",-11.493043899536133,-11.493043899536133,1,-15.846408653259278,-16.799291610717773,1.7327569135209924,-17.479129791259766,-13.336997985839844,-15.846408653259278,-16.799291610717773,1.7327569135209924,-17.479129791259766,-13.336997985839844,-4.353364753723145,-4.353364753723145
hot,fan,5,"blankets,couch,heater,pool,shower",-5.368043899536133,-5.368043899536133,1,-8.331112957000732,-7.990542888641357,0.846851368402329,-9.720653533935547,-7.549290657043457,-8.331112957000732,-7.990542888641357,0.846851368402329,-9.720653533935547,-7.549290657043457,-2.9630690574645993,-2.9630690574645993
hot,heater,5,"blankets,couch,fan,pool,shower",-5.368043899536133,-5.368043899536133,1,-10.960830879211425,-11.178043365478516,1.2413079350324387,-12.572879791259766,-9.433079719543457,-10.960830879211425,-11.178043365478516,1.2413079350324387,-12.572879791259766,-9.433079719543457,-5.592786979675292,-5.592786979675292
hot,pool,5,"blankets,couch,fan,heater,shower",-9.243043899536133,-9.243043899536133,1,-11.289058303833007,-11.680747985839844,2.7872782070149817,-14.361790657043457,-7.339329719543457,-11.289058303833007,-11.680747985839844,2.7872782070149817,-14.361790657043457,-7.339329719543457,-2.0460144042968746,-2.0460144042968746
hot,shower,5,"blankets,couch,fan,heater,pool",-9.868043899536133,-9.868043899536133,1,-12.090323066711425,-11.896793365478516,1.8006747118863895,-14.424290657043457,-9.595653533935547,-12.090323066711425,-11.896793365478516,1.8006747118863895,-14.424290657043457,-9.595653533935547,-2.2222791671752926,-2.2222791671752926
hot,blankets,5,"couch,fan,heater,pool,shower",-10.274293899536133,-10.274293899536133,1,-12.417351913452148,-12.784642219543457,2.1632574388482118,-14.611790657043457,-8.896793365478516,-12.417351913452148,-12.784642219543457,2.1632574388482118,-14.611790657043457,-8.896793365478516,-2.143058013916015,-2.143058013916015
mall,coffee shop,5,"burger joint,electronics store,gift shop,grocery store,pretzel stand",-7.473084554076195,-3.7365422770380974,2,-9.717321014404297,-10.076131641864777,0.9900993626441843,-10.797683119773865,-8.470288753509521,-4.858660507202148,-5.038065820932388,0.49504968132209215,-5.398841559886932,-4.235144376754761,-2.2442364603281018,-1.1221182301640509
mall,electronics store,5,"burger joint,coffee shop,gift shop,grocery store,pretzel stand",-16.133319690823555,-8.066659845411777,2,-16.376664555072786,-17.320478796958923,2.7261542934049077,-18.941765546798706,-12.822042107582092,-8.188332277536393,-8.660239398479462,1.3630771467024538,-9.470882773399353,-6.411021053791046,-0.24334486424923085,-0.12167243212461543
mall,gift shop,5,"burger joint,coffee shop,electronics store,grocery store,pretzel stand",-12.468024998903275,-6.234012499451637,2,-15.760889565944671,-16.295875072479248,2.0547055633340854,-17.948519706726074,-12.398018717765808,-7.880444782972336,-8.147937536239624,1.0273527816670427,-8.974259853363037,-6.199009358882904,-3.2928645670413967,-1.6464322835206984
mall,grocery store,5,"burger joint,coffee shop,electronics store,gift shop,pretzel stand",-7.639870086684823,-3.8199350433424115,2,-11.974898225069046,-12.722580432891846,2.6572623006728127,-14.877600193023682,-8.598180145025253,-5.987449112534523,-6.361290216445923,1.3286311503364063,-7.438800096511841,-4.299090072512627,-4.335028138384223,-2.1675140691921113
