context,word,frequency,cloze_probability
bakery,chocolates,1,0.019230769230769232
bakery,croissants,1,0.019230769230769232
bakery,smores,1,0.019230769230769232
bakery,jello,1,0.019230769230769232
bakery,cobbler,1,0.019230769230769232
bakery,macaroons,1,0.019230769230769232
bakery,cinnamon bun,1,0.019230769230769232
bakery,donut,1,0.019230769230769232
bakery,muffin,1,0.019230769230769232
bakery,bear claws,1,0.019230769230769232
bakery,swiss rolls,1,0.019230769230769232
bakery,strawberry crumble,1,0.019230769230769232
bakery,snickers rolls,1,0.019230769230769232
bakery,buns,1,0.019230769230769232
bakery,flatbread,1,0.019230769230769232
bakery,coke float,1,0.019230769230769232
bakery,coccola,1,0.019230769230769232
bakery,energy drink,1,0.019230769230769232
bakery,biscotti,1,0.019230769230769232
bakery,baklava,1,0.019230769230769232
bakery,cannoli,1,0.019230769230769232
bakery,long johns,1,0.019230769230769232
bakery,mango desert,1,0.019230769230769232
bakery,icecream,1,0.019230769230769232
bakery,milk bar mini,1,0.019230769230769232
bakery,momofuku milkibar,1,0.019230769230769232
bakery,dominique ansel bakkery,1,0.019230769230769232
bakery,taiyaki,1,0.019230769230769232
bakery,rolls,1,0.019230769230769232
bakery,deep fried dessert,1,0.019230769230769232
bakery,frozen dessert,1,0.019230769230769232
bakery,pastry,1,0.019230769230769232
bakery,jellied dessert,1,0.019230769230769232
bakery,petit fours,1,0.019230769230769232
bakery,bagels,1,0.019230769230769232
bakery,tortes,1,0.019230769230769232
bakery,puff pastrys,1,0.019230769230769232
salad,lettuce,39,0.75
salad,tomatoes,24,0.46153846153846156
salad,onions,16,0.3076923076923077
salad,carrots,15,0.28846153846153844
salad,dressing,13,0.25
salad,croutons,12,0.23076923076923078
salad,cucumbers,10,0.19230769230769232
salad,tomato,10,0.19230769230769232
salad,cheese,8,0.15384615384615385
salad,olives,8,0.15384615384615385
salad,salad dressing,6,0.11538461538461539
salad,celery,6,0.11538461538461539
salad,spinach,6,0.11538461538461539
salad,onion,6,0.11538461538461539
salad,cucumber,5,0.09615384615384616
salad,carrot,4,0.07692307692307693
salad,kale,4,0.07692307692307693
salad,cabbage,4,0.07692307692307693
salad,chicken salad,3,0.057692307692307696
salad,broccoli,3,0.057692307692307696
salad,crutons,3,0.057692307692307696
salad,peppers,3,0.057692307692307696
salad,arugula,3,0.057692307692307696
salad,ranch,2,0.038461538461538464
salad,blue cheese,2,0.038461538461538464
salad,vinegar,2,0.038461538461538464
salad,eggs,2,0.038461538461538464
salad,fruit salad,2,0.038461538461538464
salad,fruit,2,0.038461538461538464
salad,chicken,2,0.038461538461538464
salad,chef salad,2,0.038461538461538464
salad,beets,2,0.038461538461538464
salad,garlic,2,0.038461538461538464
salad,radishes,2,0.038461538461538464
salad,tomatos,2,0.038461538461538464
salad,romaine,2,0.038461538461538464
salad,iceberg,2,0.038461538461538464
salad,avacado,2,0.038461538461538464
salad,mushrooms,2,0.038461538461538464
salad,thousand island,1,0.019230769230769232
salad,light ranch,1,0.019230769230769232
salad,oil,1,0.019230769230769232
salad,ham,1,0.019230769230769232
salad,turkey salad,1,0.019230769230769232
salad,nut salad,1,0.019230769230769232
salad,bacon salad,1,0.019230769230769232
salad,ham salad,1,0.019230769230769232
salad,pickles,1,0.019230769230769232
salad,egg,1,0.019230769230769232
salad,greek salad,1,0.019230769230769232
salad,ceasor salad,1,0.019230769230769232
salad,cobb salad,1,0.019230769230769232
salad,bacon bits,1,0.019230769230769232
salad,shredded cheese,1,0.019230769230769232
salad,ham chunks,1,0.019230769230769232
salad,pepperoni,1,0.019230769230769232
salad,tunsalad,1,0.019230769230769232
salad,veggie salad,1,0.019230769230769232
salad,house salad,1,0.019230769230769232
salad,cesar salad,1,0.019230769230769232
salad,lettice,1,0.019230769230769232
salad,cherry tomatoes,1,0.019230769230769232
salad,red onion,1,0.019230769230769232
salad,corn,1,0.019230769230769232
salad,bell peppers,1,0.019230769230769232
salad,asparagus,1,0.019230769230769232
salad,italisalad dressing,1,0.019230769230769232
salad,grated cheese,1,0.019230769230769232
salad,romaine lettuce,1,0.019230769230769232
salad,avocado,1,0.019230769230769232
salad,walnuts,1,0.019230769230769232
salad,grapes,1,0.019230769230769232
salad,salmon,1,0.019230769230769232
salad,bagged salads,1,0.019230769230769232
salad,vegetables,1,0.019230769230769232
salad,cukes,1,0.019230769230769232
salad,nuts,1,0.019230769230769232
salad,red onions,1,0.019230769230769232
salad,green onion,1,0.019230769230769232
salad,cruotons,1,0.019230769230769232
salad,salad,1,0.019230769230769232
salad,apples,1,0.019230769230769232
salad,bananas,1,0.019230769230769232
salad,potatoes,1,0.019230769230769232
salad,eggplant,1,0.019230769230769232
salad,green peppers,1,0.019230769230769232
salad,avocados,1,0.019230769230769232
salad,endive,1,0.019230769230769232
salad,apple,1,0.019230769230769232
salad,pomegranate,1,0.019230769230769232
salad,pineapple,1,0.019230769230769232
salad,banana,1,0.019230769230769232
salad,cherry,1,0.019230769230769232
salad,strawberry,1,0.019230769230769232
salad,coutons,1,0.019230769230769232
salad,dinner salads,1,0.019230769230769232
salad,fruit salads,1,0.019230769230769232
salad,green salads,1,0.019230769230769232
salad,desserts,1,0.019230769230769232
salad,pasta,1,0.019230769230769232
salad,bound salads,1,0.019230769230769232
salad,ranch dressing,1,0.019230769230769232
salad,croquets,1,0.019230769230769232
salad,strawberries,1,0.019230769230769232
salad,salad greens,1,0.019230769230769232
restaurant,beer,42,0.8076923076923077
restaurant,wine,39,0.75
restaurant,cocktails,32,0.6153846153846154
restaurant,vodka,16,0.3076923076923077
restaurant,whiskey,15,0.28846153846153844
restaurant,soda,14,0.2692307692307692
restaurant,tequila,11,0.21153846153846154
restaurant,water,9,0.17307692307692307
restaurant,rum,8,0.15384615384615385
restaurant,gin,6,0.11538461538461539
restaurant,juice,4,0.07692307692307693
restaurant,coke,4,0.07692307692307693
restaurant,whisky,3,0.057692307692307696
restaurant,tea,3,0.057692307692307696
restaurant,coffee,3,0.057692307692307696
restaurant,shots,2,0.038461538461538464
restaurant,brandy,2,0.038461538461538464
restaurant,hard seltzer,2,0.038461538461538464
restaurant,wine coolers,2,0.038461538461538464
restaurant,lemonade,2,0.038461538461538464
restaurant,iced tea,2,0.038461538461538464
restaurant,scotch,2,0.038461538461538464
restaurant,bourbon,2,0.038461538461538464
restaurant,milk,2,0.038461538461538464
restaurant,margaritas,2,0.038461538461538464
restaurant,champagne,2,0.038461538461538464
restaurant,high balls,1,0.019230769230769232
restaurant,ice tea,1,0.019230769230769232
restaurant,diet coke,1,0.019230769230769232
restaurant,orange soda,1,0.019230769230769232
restaurant,slushies,1,0.019230769230769232
restaurant,smoothies,1,0.019230769230769232
restaurant,notsure,1,0.019230769230769232
restaurant,sangria,1,0.019230769230769232
restaurant,spirits,1,0.019230769230769232
restaurant,liquour,1,0.019230769230769232
restaurant,hot tea,1,0.019230769230769232
restaurant,cider,1,0.019230769230769232
restaurant,liquors,1,0.019230769230769232
restaurant,sodas,1,0.019230769230769232
restaurant,sparkling water,1,0.019230769230769232
restaurant,liquor,1,0.019230769230769232
restaurant,lager,1,0.019230769230769232
restaurant,smoothie,1,0.019230769230769232
restaurant,donuts,1,0.019230769230769232
restaurant,bajfresh,1,0.019230769230769232
restaurant,cake,1,0.019230769230769232
restaurant,pizza,1,0.019230769230769232
restaurant,hotdog,1,0.019230769230769232
